OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,NL_mean,NL_median,LC_SUM,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,10,BIHAR,1,PASHCHIM CHAMPARAN,2,Ramnagar (SC),1,VALMIKI NAGAR,1001,,2.24111390328,0.1056097062,1442878,5126,6146,0,4559,825,0,127,191,1486,71,311,35,0,2939,45,25,0,0,-0.102214847603974,-0.097172945737839,0.328014989369399,0.32048037648201,5384,0.1532317979197622,0.0,0.6048434459715311,0.4112444370985035,5230,0.024282982791587,0.0365200764818355,0.2841300191204589,0.0135755258126195,0.0594646271510516,0.0066921606118546,0.0,0.5619502868068834,0.008604206500956,0.0047801147227533,0.0,0.0,2018,-0.077325277030468,-0.091049328005576,0.569615285331035,0.388998240232468,0.253195774682207,0.25132392346859,5388,5379
1,10,BIHAR,1,PASHCHIM CHAMPARAN,1,Valmiki Nagar,1,VALMIKI NAGAR,1001,,3.16673833067,0.12206658737,1258027,268824,142953,10913,311787,80707,13160,21,132,815,120,527,265,4,3950,2,80,70,65,-0.154444866167473,-0.14259147644043,0.336733375059335,0.337935000658035,405654,0.1989552672967603,0.0324414402421768,0.556446055762754,0.4299287050962445,6051,0.0034705007436787,0.0218145761031234,0.1346884812427698,0.0198314328210213,0.0870930424723186,0.043794414146422,0.0006610477607007,0.6527846636919518,0.0003305238803503,0.0132209552140142,0.0115683358122624,0.0107420261113865,2018,-0.07139603048563,-0.086397590286863,0.531476753754897,0.405961543321609,0.239509644061685,0.245477229356766,5388,5379
1,10,BIHAR,1,PASHCHIM CHAMPARAN,9,Sikta,1,VALMIKI NAGAR,1001,,1.6438567624,0.04398509075,596429,2789,6409,0,7783,680,2,0,20,1,0,15,0,0,2114,0,33,0,0,-0.173590401432931,-0.17276768386364,0.414935354597048,0.417393773794174,8465,0.080330773774365,0.0002362669816893,0.8857506990063115,0.7627549469470976,2183,0.0,0.0091617040769583,0.0004580852038479,0.0,0.0068712780577187,0.0,0.0,0.9683921209344938,0.0,0.0151168117269812,0.0,0.0,2018,-0.122038826346397,-0.122912923943985,0.858204761652646,0.727526724338531,0.291472398959441,0.288225114345551,5388,5379
1,10,BIHAR,1,PASHCHIM CHAMPARAN,4,Bagaha,1,VALMIKI NAGAR,1001,,1.2410549029,0.04398449091,561618,15347,25802,2838,25766,14000,1611,0,0,0,0,75,41,1,2051,7,1,4,2,-0.106332146502512,-0.082826003432274,0.243131100049494,0.244250297546387,41377,0.3383522246658771,0.0389346738526234,0.8918958613460345,0.740997925400734,2182,0.0,0.0,0.0,0.0,0.034372135655362,0.0187901008249312,0.0004582951420714,0.9399633363886344,0.0032080659945004,0.0004582951420714,0.0018331805682859,0.0009165902841429,2018,-0.029702657833695,-0.044098967070845,0.889229873020346,0.747107207775116,0.211263121935461,0.206896930932999,5388,5379
1,10,BIHAR,1,PASHCHIM CHAMPARAN,3,Narkatiaganj,1,VALMIKI NAGAR,1001,,1.44585213609,0.0339216314,463285,2618,1165,0,3068,473,0,0,0,0,0,2,0,0,1644,37,0,0,0,-0.09418521677481,-0.079318054020405,0.335653152296927,0.330077841877937,3541,0.1335780852866422,0.0,1.1693297353167695,0.9816445559263228,1683,0.0,0.0,0.0,0.0,0.0011883541295306,0.0,0.0,0.9768270944741532,0.0219845513963161,0.0,0.0,0.0,2018,-0.05393691919744,-0.062487121166804,1.092231068110551,0.914986103773117,0.232354870346966,0.227092102169991,5388,5379
1,10,BIHAR,1,PASHCHIM CHAMPARAN,5,Lauriya,1,VALMIKI NAGAR,1001,,1.28649991613,0.03265617396,422900,17647,9057,31,20048,4570,0,0,0,0,0,13,1,0,1576,5,28,0,1,-0.165250806961598,-0.154282823204994,0.364729164653626,0.361221969127655,24618,0.1856365261190998,0.0,1.155433810697678,1.062732934951782,1624,0.0,0.0,0.0,0.0,0.0080049261083743,0.000615763546798,0.0,0.9704433497536946,0.0030788177339901,0.0172413793103448,0.0,0.000615763546798,2018,-0.116296842694283,-0.124155181706042,1.113846859334052,1.011982798576355,0.268541652241034,0.263146936893463,5388,5379
2,10,BIHAR,2,PURBA CHAMPARAN,10,Raxaul,2,PASCHIM CHAMPARAN,1002,,1.30833172627,0.025599053,349982,984,1523,4,1140,962,9,0,0,0,0,6,0,0,1238,18,1,0,0,-0.228104227796747,-0.241001084446907,0.442279222288264,0.460596889257431,2111,0.4557081951681667,0.004263382283278,1.5124038908674784,1.0694160461425786,1263,0.0,0.0,0.0,0.0,0.004750593824228,0.0,0.0,0.9802058590657166,0.014251781472684,0.0007917656373713,0.0,0.0,2018,-0.179244309663773,-0.170497875921495,1.289896355433898,0.861185431480408,0.309875012232112,0.313067346811295,2148,2099
2,10,BIHAR,1,PASHCHIM CHAMPARAN,7,Chanpatia,2,PASCHIM CHAMPARAN,1002,,1.2942384841,0.03541506132,468022,5623,13960,2,11799,3564,1,0,0,0,0,45,0,0,1536,6,164,0,0,-0.193494739614439,-0.183678433299065,0.388829687689857,0.38846892118454,15364,0.2319708409268419,6.508721687060662e-05,1.2995782194317949,1.123157247900963,1751,0.0,0.0,0.0,0.0,0.0256996002284408,0.0,0.0,0.8772130211307824,0.0034266133637921,0.0936607652769845,0.0,0.0,2018,-0.144548237323761,-0.14995915804922,1.14502318815431,0.998712867498398,0.290480638744752,0.289099484682083,2148,2099
2,10,BIHAR,2,PURBA CHAMPARAN,11,Sugauli,2,PASCHIM CHAMPARAN,1002,,1.09140266333,0.03084169076,374544,20181,29899,56,41235,4286,23,0,0,0,0,13,0,0,1470,22,30,0,0,-0.220929875366537,-0.227592349052429,0.427150148634134,0.441859632730484,45544,0.0941067978218865,0.0005050061479009,1.2385504365922424,1.090402513742447,1535,0.0,0.0,0.0,0.0,0.0084690553745928,0.0,0.0,0.9576547231270358,0.0143322475570032,0.019543973941368,0.0,0.0,2018,-0.204487450420856,-0.19381581394953,1.033535676680023,0.881499946117401,0.320442351636376,0.328198567032814,2148,2099
2,10,BIHAR,2,PURBA CHAMPARAN,12,Narkatia,2,PASCHIM CHAMPARAN,1002,,1.93588626705,0.0326598806,369146,10831,69684,9,70874,4384,4,0,0,0,0,6,0,0,1591,17,7,0,0,-0.247174522423381,-0.264381468296051,0.45107215962177,0.471702247858047,75262,0.0582498472004464,5.314767080332705e-05,1.0377702104272664,0.86123326420784,1621,0.0,0.0,0.0,0.0,0.0037014188772362,0.0,0.0,0.9814929056138186,0.0104873534855027,0.0043183220234423,0.0,0.0,2018,-0.232344210147858,-0.214284488220159,0.827914489492958,0.65906822681427,0.342221534035003,0.34988896548748,2148,2099
