OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,LC_1,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,Water_1,Water_2,Water_3,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,10,BIHAR,1,PASHCHIM CHAMPARAN,2,Ramnagar (SC),1,VALMIKI NAGAR,1001,,2.24111390328,0.1056097062,1442878,5126,6146,0,0,284,78,1449,68,396,60,0,2807,45,43,0,0,4832,561,0,0.640071606612027,0.433490633964539,0.369276073035265,0.364812731742859,-0.157678389526642,-0.151784710586071,5393,0.10402373447061,0.0,5230,0.0,0.054302103250478,0.0149139579349904,0.2770554493307839,0.0130019120458891,0.075717017208413,0.011472275334608,0.0,0.5367112810707457,0.008604206500956,0.0082217973231357,0.0,0.0,2019,-0.097172945737839,-0.102214847603974,0.6048434459715311,0.4112444370985035,0.328014989369399,0.32048037648201,5384,5388
1,10,BIHAR,1,PASHCHIM CHAMPARAN,1,Valmiki Nagar,1,VALMIKI NAGAR,1001,,3.16673833067,0.12206658737,1258027,268824,142953,10913,0,144,56,776,93,1064,290,3,3396,2,95,67,65,309744,90592,10046,0.581415357770611,0.45389586687088,0.296019964716503,0.284913599491119,-0.12454199733242,-0.089033290743828,410382,0.2207504227768274,0.0244796311729071,6051,0.0,0.0237977193852255,0.0092546686498099,0.1282432655759378,0.0153693604362915,0.175838704346389,0.0479259626508015,0.0004957858205255,0.5612295488349033,0.0003305238803503,0.0156998843166418,0.0110725499917369,0.0107420261113865,2019,-0.14259147644043,-0.154444866167473,0.556446055762754,0.4299287050962445,0.336733375059335,0.337935000658035,5384,5388
1,10,BIHAR,1,PASHCHIM CHAMPARAN,9,Sikta,1,VALMIKI NAGAR,1001,,1.6438567624,0.04398509075,596429,2789,6409,0,0,0,15,3,0,23,0,0,2101,0,41,0,0,5712,2955,0,0.913296636359977,0.797983169555664,0.418008528037974,0.424272954463959,-0.217929929146782,-0.217769905924797,8667,0.3409484250605746,0.0,2183,0.0,0.0,0.0068712780577187,0.0013742556115437,0.0,0.010535959688502,0.0,0.0,0.962437013284471,0.0,0.0187814933577645,0.0,0.0,2019,-0.17276768386364,-0.173590401432931,0.8857506990063115,0.7627549469470976,0.414935354597048,0.417393773794174,5384,5388
1,10,BIHAR,1,PASHCHIM CHAMPARAN,4,Bagaha,1,VALMIKI NAGAR,1001,,1.2410549029,0.04398449091,561618,15347,25802,2838,0,0,0,0,0,124,40,2,1943,7,61,3,2,24443,15266,1999,0.894561849671723,0.734888643026352,0.264849556102282,0.256167143583298,-0.088783675987702,-0.064871691167355,41708,0.3660209072599981,0.0479284549726671,2182,0.0,0.0,0.0,0.0,0.0,0.0568285976168652,0.0183318056828597,0.0009165902841429,0.8904674610449129,0.0032080659945004,0.0279560036663611,0.0013748854262144,0.0009165902841429,2019,-0.082826003432274,-0.106332146502512,0.8918958613460345,0.740997925400734,0.243131100049494,0.244250297546387,5384,5388
1,10,BIHAR,1,PASHCHIM CHAMPARAN,3,Narkatiaganj,1,VALMIKI NAGAR,1001,,1.44585213609,0.0339216314,463285,2618,1165,0,0,0,0,0,0,7,0,0,1584,37,55,0,0,2803,766,0,1.246428402522988,1.048303008079529,0.352353171578338,0.352195739746094,-0.13822758891886,-0.130788512527943,3569,0.2146259456430372,0.0,1683,0.0,0.0,0.0,0.0,0.0,0.0041592394533571,0.0,0.0,0.9411764705882352,0.0219845513963161,0.0326797385620915,0.0,0.0,2019,-0.079318054020405,-0.09418521677481,1.1693297353167695,0.9816445559263228,0.335653152296927,0.330077841877937,5384,5388
1,10,BIHAR,1,PASHCHIM CHAMPARAN,5,Lauriya,1,VALMIKI NAGAR,1001,,1.28649991613,0.03265617396,422900,17647,9057,31,0,0,0,0,0,33,1,0,1446,5,138,0,1,19658,5420,3,1.197020762061304,1.113483071327209,0.387516941303596,0.390646994113922,-0.192037211708797,-0.186033070087433,25081,0.2160998365296439,0.0001196124556437,1624,0.0,0.0,0.0,0.0,0.0,0.0203201970443349,0.000615763546798,0.0,0.8903940886699507,0.0030788177339901,0.084975369458128,0.0,0.000615763546798,2019,-0.154282823204994,-0.165250806961598,1.155433810697678,1.062732934951782,0.364729164653626,0.361221969127655,5384,5388
2,10,BIHAR,2,PURBA CHAMPARAN,10,Raxaul,2,PASCHIM CHAMPARAN,1002,,1.30833172627,0.025599053,349982,984,1523,4,0,0,0,0,0,9,0,0,1234,18,2,0,0,1087,1015,0,1.734911426301059,1.277646660804749,0.440432872312902,0.457868069410324,-0.265430538965717,-0.286014705896378,2102,0.4828734538534728,0.0,1263,0.0,0.0,0.0,0.0,0.0,0.007125890736342,0.0,0.0,0.9770387965162312,0.014251781472684,0.0015835312747426,0.0,0.0,2019,-0.241001084446907,-0.228104227796747,1.5124038908674784,1.0694160461425786,0.442279222288264,0.460596889257431,2111,2148
2,10,BIHAR,1,PASHCHIM CHAMPARAN,7,Chanpatia,2,PASCHIM CHAMPARAN,1002,,1.2942384841,0.03541506132,468022,5623,13960,2,0,0,0,0,0,63,0,0,1408,6,274,0,0,8883,6537,0,1.45413325070928,1.247601628303528,0.413547821529628,0.420530617237091,-0.225422515973128,-0.220915496349335,15420,0.4239299610894941,0.0,1751,0.0,0.0,0.0,0.0,0.0,0.0359794403198172,0.0,0.0,0.8041119360365505,0.0034266133637921,0.1564820102798401,0.0,0.0,2019,-0.183678433299065,-0.193494739614439,1.2995782194317949,1.123157247900963,0.388829687689857,0.38846892118454,2111,2148
2,10,BIHAR,2,PURBA CHAMPARAN,11,Sugauli,2,PASCHIM CHAMPARAN,1002,,1.09140266333,0.03084169076,374544,20181,29899,56,0,0,0,0,0,21,0,0,1430,22,62,0,0,34338,8813,28,1.443565196504462,1.299305081367493,0.448516771623307,0.466414049267769,-0.264684405707297,-0.278654426336288,43179,0.2041038467773686,0.0006484633733991,1535,0.0,0.0,0.0,0.0,0.0,0.0136807817589576,0.0,0.0,0.9315960912052116,0.0143322475570032,0.0403908794788273,0.0,0.0,2019,-0.227592349052429,-0.220929875366537,1.2385504365922424,1.090402513742447,0.427150148634134,0.441859632730484,2111,2148
2,10,BIHAR,2,PURBA CHAMPARAN,12,Narkatia,2,PASCHIM CHAMPARAN,1002,,1.93588626705,0.0326598806,369146,10831,69684,9,0,0,0,0,0,7,0,0,1580,17,17,0,0,58934,8725,4,1.247625931361575,1.06339830160141,0.469210546256086,0.492100581526756,-0.289260975257152,-0.316042095422745,67663,0.1289478740227303,5.911650384996232e-05,1621,0.0,0.0,0.0,0.0,0.0,0.0043183220234423,0.0,0.0,0.974706971005552,0.0104873534855027,0.0104873534855027,0.0,0.0,2019,-0.264381468296051,-0.247174522423381,1.0377702104272664,0.86123326420784,0.45107215962177,0.471702247858047,2111,2148
5,10,BIHAR,4,SITAMARHI,25,Parihar,5,SITAMARHI,1005,,0.9694141006,0.02800142147,382991,1337,1194,7,0,0,0,0,0,0,0,0,1366,19,0,0,0,1008,1313,3,1.119545734340635,1.013113856315613,0.482649208676597,0.498565763235092,-0.2967246021371,-0.31576943397522,2324,0.564974182444062,0.0012908777969018,1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9862815884476536,0.0137184115523465,0.0,0.0,0.0,2019,-0.249506726861,-0.239888797797076,0.913494856002264,0.8150066137313845,0.448343770032215,0.461621642112732,2310,2304
4,10,BIHAR,2,PURBA CHAMPARAN,21,Dhaka,4,SHEOHAR,1004,,1.10909560202,0.02587272892,352358,2306,1528,1,0,0,0,0,0,1,0,0,1254,9,8,0,0,2138,1455,0,1.412641304170984,1.250320553779602,0.477794017743049,0.495941758155823,-0.291192238094395,-0.312078446149826,3593,0.4049540773726691,0.0,1272,0.0,0.0,0.0,0.0,0.0,0.0007861635220125,0.0,0.0,0.9858490566037736,0.0070754716981132,0.0062893081761006,0.0,0.0,2019,-0.241817981004715,-0.234793578064749,1.2657000995367746,1.125437319278717,0.448265232664018,0.462453722953796,3566,3645
2,10,BIHAR,1,PASHCHIM CHAMPARAN,6,Nautan,2,PASCHIM CHAMPARAN,1002,,1.09156163371,0.038715638,398880,82864,50246,1075,0,0,5,0,0,231,45,0,1508,7,84,0,33,105582,23526,1106,1.191036244347396,1.062884092330933,0.408549934931709,0.425960779190063,-0.223101759837084,-0.234405621886253,130214,0.1806718171625171,0.0084937103537254,1913,0.0,0.0,0.0026136957658128,0.0,0.0,0.1207527443805541,0.0235232618923157,0.0,0.7882906429691584,0.003659174072138,0.043910088865656,0.0,0.0172503920543648,2019,-0.186195701360703,-0.189208407419747,1.1222845542092146,1.0157976597547536,0.390910875557087,0.396881699562073,2111,2148
2,10,BIHAR,1,PASHCHIM CHAMPARAN,8,Bettiah,2,PASCHIM CHAMPARAN,1002,,0.9634001312,0.02037074147,264378,3943,12082,69,0,0,0,0,0,64,0,0,786,44,111,0,0,6009,5120,0,2.649459811289793,1.388282954692841,0.428321449637797,0.446276634931564,-0.250064306454805,-0.253270670771599,11129,0.4600593045197232,0.0,1005,0.0,0.0,0.0,0.0,0.0,0.0636815920398009,0.0,0.0,0.7820895522388059,0.0437810945273631,0.1104477611940298,0.0,0.0,2019,-0.200900092720985,-0.207976973532427,2.249343070920652,1.276166707277298,0.404225114064607,0.411170333623886,2111,2148
5,10,BIHAR,4,SITAMARHI,24,Bathnaha (SC),5,SITAMARHI,1005,,1.2739774254,0.03230047521,436537,4816,3397,1,0,0,0,0,0,1,0,0,1599,0,0,0,0,5109,2343,1,1.144267607808784,1.037839651107788,0.481045057540147,0.496385961771011,-0.272435314091558,-0.289399147033691,7453,0.3143700523279216,0.0001341741580571,1600,0.0,0.0,0.0,0.0,0.0,0.000625,0.0,0.0,0.999375,0.0,0.0,0.0,0.0,2019,-0.206280723214149,-0.204310163115559,0.923149562677866,0.833296626806259,0.431447028293493,0.438118427991867,2310,2304
3,10,BIHAR,2,PURBA CHAMPARAN,19,Motihari,3,PURVI CHAMPARAN,1003,,1.39607701034,0.02806156802,307937,21221,57203,56,0,0,0,0,0,45,0,0,1275,41,27,0,3,39771,24149,11,2.130688911654889,1.322444200515747,0.465064082218108,0.499690562486649,-0.282019638584803,-0.295525789260864,63931,0.377735370946802,0.0001720605027295,1391,0.0,0.0,0.0,0.0,0.0,0.0323508267433501,0.0,0.0,0.9166067577282532,0.0294751976994967,0.01941049604601,0.0,0.00215672178289,2019,-0.228560000658035,-0.228138321792282,1.8134690247503,1.1653059124946594,0.424089655953406,0.440803855657578,73041,78037
4,10,BIHAR,2,PURBA CHAMPARAN,20,Chiraia,4,SHEOHAR,1004,,1.46568965314,0.02945138083,370462,9819,25213,22,0,0,0,0,0,10,0,0,1435,6,4,0,0,17433,10336,4,1.427723017194188,1.291142344474792,0.517260727434804,0.537813425064087,-0.323631334168732,-0.350006610155106,27773,0.3721600115219818,0.0001440247722608,1455,0.0,0.0,0.0,0.0,0.0,0.0068728522336769,0.0,0.0,0.986254295532646,0.0041237113402061,0.0027491408934707,0.0,0.0,2019,-0.297694489359856,-0.277981765830766,1.218398382919117,1.1035147905349731,0.484261774179894,0.505486369132996,3566,3645
4,10,BIHAR,4,SITAMARHI,23,Riga,4,SHEOHAR,1004,,1.41909455541,0.02585321262,340092,10791,5074,0,0,0,0,0,0,11,0,0,1248,22,6,0,0,10238,4177,0,1.42544534739326,1.199627876281738,0.46845071664011,0.485451698303223,-0.248515366108358,-0.254388988018036,14415,0.2897676031911204,0.0,1287,0.0,0.0,0.0,0.0,0.0,0.0085470085470085,0.0,0.0,0.9696969696969696,0.017094017094017,0.0046620046620046,0.0,0.0,2019,-0.188584312796593,-0.191317001782237,1.1890637770119836,1.0196788311004634,0.42864273793291,0.436189740896225,3566,3645
3,10,BIHAR,2,PURBA CHAMPARAN,13,Harsidhi (SC),3,PURVI CHAMPARAN,1003,,1.26351364246,0.02998724009,393989,7514,11324,47,0,0,0,0,0,10,0,0,1433,11,27,0,6,5913,8614,0,1.488891052236461,1.334024906158447,0.483360932758121,0.511448532342911,-0.285470894938911,-0.294891744852066,14527,0.592964824120603,0.0,1487,0.0,0.0,0.0,0.0,0.0,0.0067249495628782,0.0,0.0,0.9636852723604572,0.0073974445191661,0.0181573638197713,0.0,0.0040349697377269,2019,-0.252773851156235,-0.251407625604069,1.3919567026875237,1.25586599111557,0.46084557182512,0.474884778261185,73041,78037
3,10,BIHAR,2,PURBA CHAMPARAN,14,Govindganj,3,PURVI CHAMPARAN,1003,,1.30028936166,0.03452147363,372042,40451,61220,1608,0,0,0,0,0,130,39,0,1506,2,19,6,17,70664,16776,3094,1.293585869579393,1.159912168979645,0.428363623306734,0.450870305299759,-0.220485991825014,-0.226048082113266,90534,0.1853005500695871,0.0341750060750657,1719,0.0,0.0,0.0,0.0,0.0,0.0756253635834787,0.0226876090750436,0.0,0.8760907504363001,0.0011634671320535,0.0110529377545084,0.0034904013961605,0.0098894706224549,2019,-0.178492695093155,-0.184343967237934,1.1889897130743083,1.079793930053711,0.400475058633902,0.410475641489029,73041,78037
7,10,BIHAR,5,MADHUBANI,33,Khajauli,7,JHANJHARPUR,1007,,1.30395888404,0.02827306268,366907,11408,10961,1,0,0,0,0,0,2,0,0,1373,35,0,0,0,9219,13956,0,1.294814688540014,1.13753867149353,0.459445709542867,0.477974891662598,-0.231323688578391,-0.242241472005844,23175,0.602200647249191,0.0,1410,0.0,0.0,0.0,0.0,0.0,0.001418439716312,0.0,0.0,0.973758865248227,0.0248226950354609,0.0,0.0,0.0,2019,-0.2399822473526,-0.2284433661774,1.2371576490563432,1.0899094343185425,0.470034679603431,0.486477911472321,25478,25336
6,10,BIHAR,5,MADHUBANI,31,Harlakhi,6,MADHUBANI,1006,,1.23602594445,0.02863251975,345132,8525,40544,65,0,0,0,0,0,0,0,0,1403,10,0,0,0,8722,38751,104,1.069642340715698,0.966028273105621,0.469194008947265,0.486051917076111,-0.251769669553197,-0.264345988631248,47577,0.8144901948420455,0.0021859301763457,1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929228591648974,0.0070771408351026,0.0,0.0,0.0,2019,-0.231048695743084,-0.224978537773798,0.9077704436787446,0.824764162302017,0.46082852756914,0.472339868545532,49034,49020
5,10,BIHAR,4,SITAMARHI,26,Sursand,5,SITAMARHI,1005,,1.2865841371,0.02859544774,285364,37126,71218,28,0,0,0,0,0,6,0,0,1392,13,4,0,0,34292,68127,22,1.371625139605755,1.118092656135559,0.49789056553599,0.518196821212769,-0.284570493979344,-0.302591517567635,102441,0.6650364600111284,0.000214757763005,1415,0.0,0.0,0.0,0.0,0.0,0.0042402826855123,0.0,0.0,0.9837455830388692,0.0091872791519434,0.0028268551236749,0.0,0.0,2019,-0.23375079035759,-0.227977874870028,1.1291125753843256,0.93251571059227,0.467734235860798,0.479081153869629,2310,2304
4,10,BIHAR,3,SHEOHAR *,22,Sheohar,4,SHEOHAR,1004,,1.50111556291,0.04009147284,513719,29068,9229,2,0,0,0,0,0,11,0,0,1972,4,4,0,3,30951,5851,0,1.865992747247219,1.580677509307861,0.536445918432022,0.565699458122253,-0.321072757745799,-0.346292033791542,36802,0.1589859246780066,0.0,1994,0.0,0.0,0.0,0.0,0.0,0.0055165496489468,0.0,0.0,0.9889669007021064,0.0020060180541624,0.0020060180541624,0.0,0.0015045135406218,2019,-0.305363804101944,-0.285850082851067,1.598366392010282,1.390014588832855,0.505219616934917,0.52722042798996,3566,3645
5,10,BIHAR,4,SITAMARHI,28,Sitamarhi,5,SITAMARHI,1005,,0.85388858733,0.01770710286,241432,1590,784,0,0,0,0,0,0,16,0,0,825,22,9,0,0,1211,576,0,2.522729964753668,1.707095623016357,0.471981586344177,0.491770103573799,-0.257131518815816,-0.262657850980759,1787,0.3223279238947957,0.0,872,0.0,0.0,0.0,0.0,0.0,0.018348623853211,0.0,0.0,0.9461009174311926,0.0252293577981651,0.0103211009174311,0.0,0.0,2019,-0.217118725180626,-0.216511580333743,2.0083569379485384,1.402443557977676,0.451813384141374,0.465196460485458,2310,2304
10,10,BIHAR,8,KISHANGANJ,53,Thakurganj,10,KISHANGANJ,1010,,2.20388438192,0.05560276973,695243,44324,24242,1765,0,0,0,0,0,5,2,0,2702,0,49,0,0,44790,20824,1688,0.897141693440255,0.739915728569031,0.404287831370224,0.401812493801117,-0.131360217790585,-0.117216862738132,67302,0.3094113102136638,0.02508097827702,2758,0.0,0.0,0.0,0.0,0.0,0.0018129079042784,0.0007251631617113,0.0,0.9796954314720812,0.0,0.0177664974619289,0.0,0.0,2019,-0.027275671251118,-0.051830805219517,0.770532001449659,0.6597594618797304,0.299153843078209,0.290119037032127,66512,66542
7,10,BIHAR,5,MADHUBANI,34,Babubarhi,7,JHANJHARPUR,1007,,1.09207093953,0.04006001142,530361,12218,8999,13,0,0,0,0,0,1,0,0,1970,8,0,0,0,10532,9460,5,1.228575279561033,1.107016682624817,0.428516234344602,0.43905046582222,-0.178901129287396,-0.18687978386879,19997,0.4730709606440966,0.0002500375056258,1979,0.0,0.0,0.0,0.0,0.0,0.0005053057099545,0.0,0.0,0.9954522486104092,0.0040424456796361,0.0,0.0,0.0,2019,-0.181830108165741,-0.178467092897298,1.085272462529886,0.9820761978626248,0.45389989578424,0.463646113872528,25478,25336
9,10,BIHAR,7,ARARIA,46,Narpatganj,9,ARARIA,1009,,1.90827486707,0.05340465009,717917,14473,2940,6,0,0,0,0,0,0,0,0,2585,1,77,0,0,14879,1647,1,1.329758772102606,1.225460171699524,0.559850013165354,0.580692648887634,-0.331187853876125,-0.363026678562164,16527,0.099655109820294,6.05070490712168e-05,2663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707097258730756,0.0003755163349605,0.0289147577919639,0.0,0.0,2019,-0.330832660198212,-0.308166212351375,1.1670628058596306,1.072175979614258,0.556721439274609,0.579947859048843,16980,17060
5,10,BIHAR,4,SITAMARHI,27,Bajpatti,5,SITAMARHI,1005,,1.35078625951,0.02681474582,321708,23144,24337,1,0,0,0,0,0,0,0,0,1318,14,0,0,0,22810,21258,0,1.292978328830242,1.19565761089325,0.497325825423936,0.512415885925293,-0.281804868974876,-0.290492713451385,44068,0.4823908505037669,0.0,1332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9894894894894894,0.0105105105105105,0.0,0.0,0.0,2019,-0.250400051474571,-0.250751835583238,1.058237938489695,0.980526387691498,0.487577885031732,0.494395792484283,2310,2304
4,10,BIHAR,2,PURBA CHAMPARAN,18,Madhuban,4,SHEOHAR,1004,,1.23971009425,0.02576246317,336220,5738,12706,65,0,0,0,0,0,18,0,0,1232,10,16,0,2,9583,5506,25,1.666389985832514,1.499184489250183,0.526163318199683,0.549528539180756,-0.31574831262872,-0.334126949310303,15114,0.364298001852587,0.0016540955405584,1278,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0,0.9640062597809076,0.0078247261345852,0.0125195618153364,0.0,0.001564945226917,2019,-0.30269056558609,-0.285443684289805,1.327489021034802,1.209916830062866,0.496908247622311,0.518977522850037,3566,3645
