OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,NL_mean,NL_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,20,JHARKHAND,9,SAHIBGANJ,1,RAJMAHAL,1,RAJMAHAL (ST),2001,Pre delimitation,1.73285758932,0.05054566535,564816172.0,181848,92690,65626,0,0,0,0,0,0,37,325,55,1680,15,5,86,298,-0.15891753910816,-0.132822647690773,0.202343500202801,0.202752575278282,0.554158248829682,0.315980732440948,340164,0.2724862125327783,0.1929245893157418,2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0147940823670531,0.1299480207916833,0.0219912035185925,0.6717313074770092,0.0059976009596161,0.001999200319872,0.0343862455017992,0.1191523390643742,2015,-0.147857815027237,-0.192371240685822,0.478464592477962,0.326026201248169,0.321253843585723,0.354736000299454,695963,
1,20,JHARKHAND,9,SAHIBGANJ,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.42161690864,0.07693144649,859667305.0,2088,1329,0,0,0,760,0,0,13,941,0,0,1790,11,293,0,2,-0.0876343980285136,-0.0864126905798912,0.232286921182052,0.220866858959198,0.426667660826496,0.173137962818146,3417,0.388937664618086,0.0,3810,0.0,0.0,0.1994750656167979,0.0,0.0,0.0034120734908136,0.2469816272965879,0.0,0.0,0.4698162729658792,0.0028871391076115,0.0769028871391076,0.0,0.000524934383202,2015,-0.147857815027237,-0.192371240685822,0.478464592477962,0.326026201248169,0.321253843585723,0.354736000299454,695963,
3,20,JHARKHAND,8,GODDA,18,MAHAGAMA,3,GODDA,2003,Pre delimitation,1.06937089008,0.03010190026,336339878.0,1654,1651,27,0,0,0,0,0,0,0,0,0,1477,4,0,0,0,-0.0403595940487676,-0.0360989570617676,0.164517032881523,0.157086536288261,0.817609401809731,0.586241185665131,3332,0.4954981992797119,0.0081032412965186,1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972991222147198,0.0027008777852802,0.0,0.0,0.0,2015,-0.113954477012157,-0.127903085051915,0.797159749269486,0.557249128818512,0.435937700756858,0.429248988628387,414463,
1,20,JHARKHAND,8,GODDA,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,0.89124620075,0.02808471409,313954507.0,1599,3366,1032,0,0,102,0,0,12,60,10,0,1172,18,21,0,0,-0.0515598320941447,-0.0441154353320599,0.169202476673172,0.169781610369682,0.977808257694979,0.4816854596138,5997,0.5612806403201601,0.1720860430215107,1395,0.0,0.0,0.0731182795698924,0.0,0.0,0.0086021505376344,0.043010752688172,0.007168458781362,0.0,0.8401433691756273,0.0129032258064516,0.0150537634408602,0.0,0.0,2015,-0.147857815027237,-0.192371240685822,0.478464592477962,0.326026201248169,0.321253843585723,0.354736000299454,695963,
3,20,JHARKHAND,8,GODDA,17,GODDA,3,GODDA,2003,Pre delimitation,0.97404944719,0.04146187066,464070666.0,1543,1489,2,0,0,0,0,0,0,0,0,0,2027,27,0,0,0,0.0151568569792037,0.0293143019080162,0.170295792672955,0.166204825043678,0.619369930132033,0.379171341657639,3034,0.490771259063942,0.000659195781147,2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986854917234664,0.0131450827653359,0.0,0.0,0.0,2015,-0.113954477012157,-0.127903085051915,0.797159749269486,0.557249128818512,0.435937700756858,0.429248988628387,414463,
1,20,JHARKHAND,9,SAHIBGANJ,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.31768064111,0.04764917844,533391642.0,1447,2097,2,0,0,22,0,0,10,265,0,0,1772,7,279,0,0,-0.0467694920803836,-0.0371861755847931,0.187155617023291,0.181147813796997,0.294298899486982,0.178560301661491,3546,0.5913705583756346,0.0005640157924421,2355,0.0,0.0,0.0093418259023354,0.0,0.0,0.0042462845010615,0.1125265392781316,0.0,0.0,0.7524416135881105,0.0029723991507431,0.1184713375796178,0.0,0.0,2015,-0.147857815027237,-0.192371240685822,0.478464592477962,0.326026201248169,0.321253843585723,0.354736000299454,695963,
1,20,JHARKHAND,8,GODDA,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.50182067174,0.04854142015,543779843.0,231,1921,152,0,0,302,33,0,140,724,31,0,1176,5,3,0,0,-0.0910383777739843,-0.0975074358284473,0.233646501310777,0.230787985026836,0.122758667722744,0.09276207908988,2304,0.8337673611111112,0.0659722222222222,2414,0.0,0.0,0.1251035625517813,0.0136702568351284,0.0,0.0579950289975145,0.299917149958575,0.0128417564208782,0.0,0.4871582435791218,0.0020712510356255,0.0012427506213753,0.0,0.0,2015,-0.147857815027237,-0.192371240685822,0.478464592477962,0.326026201248169,0.321253843585723,0.354736000299454,695963,
1,20,JHARKHAND,9,SAHIBGANJ,5,PAKAUR,1,RAJMAHAL (ST),2001,Pre delimitation,0.84409898718,0.01973070591,220947189.0,20363,9556,2566,0,0,0,0,0,0,0,9,6,946,2,0,0,12,-0.0990008667220352,-0.0791687592864037,0.205019362051587,0.19429224729538,0.615551901444153,0.517108529806137,32485,0.2941665384023395,0.0789903032168693,975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092307692307692,0.0061538461538461,0.9702564102564104,0.002051282051282,0.0,0.0,0.0123076923076923,2015,-0.147857815027237,-0.192371240685822,0.478464592477962,0.326026201248169,0.321253843585723,0.354736000299454,695963,
1,20,JHARKHAND,10,PAKAUR,4,LITIPARA (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.58160064648,0.07403566559,830093913.0,1082,1442,15,0,0,241,3,0,343,489,150,0,2385,0,59,0,0,-0.0419704294098618,-0.0327454246580601,0.197174122132875,0.18864431977272,0.208017291110605,0.127280406653881,2539,0.5679401339109886,0.0059078377313903,3670,0.0,0.0,0.0656675749318801,0.000817438692098,0.0,0.0934604904632152,0.1332425068119891,0.0408719346049046,0.0,0.6498637602179836,0.0,0.0160762942779291,0.0,0.0,2015,-0.147857815027237,-0.192371240685822,0.478464592477962,0.326026201248169,0.321253843585723,0.354736000299454,695963,
3,20,JHARKHAND,8,GODDA,16,POREYAHAT,3,GODDA,2003,Pre delimitation,1.1578784916,0.05451845554,611187999.0,769,541,1,0,0,13,0,0,16,5,0,0,2663,0,11,0,0,0.0365421299023435,0.0567031390964985,0.186270349449995,0.182371988892555,0.207739391630989,0.169437639415264,1311,0.4126620900076277,0.0007627765064836,2708,0.0,0.0,0.0048005908419497,0.0,0.0,0.0059084194977843,0.0018463810930576,0.0,0.0,0.9833825701624817,0.0,0.0040620384047267,0.0,0.0,2015,-0.113954477012157,-0.127903085051915,0.797159749269486,0.557249128818512,0.435937700756858,0.429248988628387,414463,
