OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,NL_mean,NL_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,20,JHARKHAND,9,SAHIBGANJ,1,RAJMAHAL,1,RAJMAHAL (ST),2001,Pre delimitation,1.73285758932,0.05054566535,564816172.0,111727,155357,61154,0,0,0,0,0,0,44,309,65,1697,15,8,83,280,0.268858400594812,0.288395375013351,-0.148342694121006,-0.101774580776691,0.767678878703862,0.534889459609985,328238,0.473305954825462,0.1863099336457083,2501,0.0,0.0,0.0,0.0,0.0,0.0,0.017592962814874,0.1235505797680927,0.0259896041583366,0.6785285885645742,0.0059976009596161,0.0031987205117952,0.033186725309876,0.1119552179128348,2016,-0.132822647690773,-0.15891753910816,0.554158248829682,0.315980732440948,0.202343500202801,0.202752575278282,340164,695963
1,20,JHARKHAND,9,SAHIBGANJ,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.42161690864,0.07693144649,859667305.0,1571,1686,15,0,0,1023,0,0,1,764,0,0,1726,11,283,0,2,0.34786364173671,0.345417946577072,-0.0535837516927545,-0.0454050414264202,0.627573668268951,0.371618241071701,3272,0.5152811735941321,0.0045843520782396,3810,0.0,0.0,0.268503937007874,0.0,0.0,0.000262467191601,0.2005249343832021,0.0,0.0,0.453018372703412,0.0028871391076115,0.0742782152230971,0.0,0.000524934383202,2016,-0.0864126905798912,-0.0876343980285136,0.426667660826496,0.173137962818146,0.232286921182052,0.220866858959198,340164,695963
3,20,JHARKHAND,8,GODDA,18,MAHAGAMA,3,GODDA,2003,Pre delimitation,1.06937089008,0.03010190026,336339878.0,1642,1664,65,0,0,0,0,0,0,0,0,0,1477,4,0,0,0,0.346020464970856,0.341952234506607,-0.0885973947876069,-0.0841883346438408,1.0283918161456,0.82420688867569,3371,0.4936220706021952,0.0192821121328982,1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972991222147198,0.0027008777852802,0.0,0.0,0.0,2016,-0.0360989570617676,-0.0403595940487676,0.817609401809731,0.586241185665131,0.164517032881523,0.157086536288261,3332,414463
1,20,JHARKHAND,8,GODDA,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,0.89124620075,0.02808471409,313954507.0,1826,2991,1203,0,0,137,0,0,5,51,8,0,1162,18,14,0,0,0.313553906370273,0.317978471517563,-0.0393920129048052,-0.0376925617456436,1.21438245291844,0.70359992980957,6020,0.496843853820598,0.1998338870431893,1395,0.0,0.0,0.0982078853046595,0.0,0.0,0.003584229390681,0.0365591397849462,0.0057347670250896,0.0,0.8329749103942652,0.0129032258064516,0.0100358422939068,0.0,0.0,2016,-0.0441154353320599,-0.0515598320941447,0.977808257694979,0.4816854596138,0.169202476673172,0.169781610369682,340164,695963
3,20,JHARKHAND,8,GODDA,17,GODDA,3,GODDA,2003,Pre delimitation,0.97404944719,0.04146187066,464070666.0,1395,1628,9,0,0,0,0,0,0,0,0,0,2027,27,0,0,0,0.316908717680134,0.300697147846222,-0.0060467705906209,0.0140050482004881,0.890119157905816,0.658014595508575,3032,0.5369393139841688,0.0029683377308707,2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986854917234664,0.0131450827653359,0.0,0.0,0.0,2016,0.0293143019080162,0.0151568569792037,0.619369930132033,0.379171341657639,0.170295792672955,0.166204825043678,3332,414463
1,20,JHARKHAND,9,SAHIBGANJ,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.31768064111,0.04764917844,533391642.0,1528,2014,5,0,0,72,0,0,2,254,0,0,1734,7,286,0,0,0.322489845861762,0.313526898622513,-0.0210135707986646,-0.0055139320902526,0.466175349761837,0.350630760192871,3547,0.5678037778404286,0.0014096419509444,2355,0.0,0.0,0.0305732484076433,0.0,0.0,0.0008492569002123,0.1078556263269639,0.0,0.0,0.7363057324840764,0.0029723991507431,0.1214437367303609,0.0,0.0,2016,-0.0371861755847931,-0.0467694920803836,0.294298899486982,0.178560301661491,0.187155617023291,0.181147813796997,340164,695963
1,20,JHARKHAND,8,GODDA,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.50182067174,0.04854142015,543779843.0,680,1459,165,0,0,509,45,0,68,589,26,0,1169,5,3,0,0,0.370452737219226,0.369977220892906,-0.0464094308754634,-0.0403116382658482,0.332862253730091,0.302894398570061,2304,0.6332465277777778,0.0716145833333333,2414,0.0,0.0,0.2108533554266777,0.0186412593206296,0.0,0.028169014084507,0.243993371996686,0.0107705053852526,0.0,0.484258492129246,0.0020712510356255,0.0012427506213753,0.0,0.0,2016,-0.0975074358284473,-0.0910383777739843,0.122758667722744,0.09276207908988,0.233646501310777,0.230787985026836,340164,695963
1,20,JHARKHAND,9,SAHIBGANJ,5,PAKAUR,1,RAJMAHAL (ST),2001,Pre delimitation,0.84409898718,0.01973070591,220947189.0,11253,17389,2668,0,0,0,0,0,0,0,8,6,947,2,0,0,12,0.346116656111489,0.339972645044327,-0.106345651400852,-0.0788778215646744,0.80524244825289,0.71545022726059,31310,0.555381667198978,0.0852123922069626,975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082051282051282,0.0061538461538461,0.9712820512820513,0.002051282051282,0.0,0.0,0.0123076923076923,2016,-0.0791687592864037,-0.0990008667220352,0.615551901444153,0.517108529806137,0.205019362051587,0.19429224729538,340164,695963
1,20,JHARKHAND,10,PAKAUR,4,LITIPARA (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.58160064648,0.07403566559,830093913.0,806,1664,73,0,0,435,4,0,184,460,159,0,2376,0,52,0,0,0.316511255081794,0.304160207509995,-0.0091726796621315,0.0062145120464265,0.428336034633069,0.349901258945465,2543,0.6543452615021628,0.028706252457727,3670,0.0,0.0,0.1185286103542234,0.0010899182561307,0.0,0.0501362397820163,0.1253405994550408,0.0433242506811989,0.0,0.6474114441416894,0.0,0.0141689373297002,0.0,0.0,2016,-0.0327454246580601,-0.0419704294098618,0.208017291110605,0.127280406653881,0.197174122132875,0.18864431977272,340164,695963
3,20,JHARKHAND,8,GODDA,16,POREYAHAT,3,GODDA,2003,Pre delimitation,1.1578784916,0.05451845554,611187999.0,649,659,3,0,0,24,0,0,9,5,0,0,2667,0,3,0,0,0.280212829849755,0.269645273685455,0.0625871779850658,0.0881603956222534,0.419344667591061,0.377552539110184,1311,0.5026697177726926,0.0022883295194508,2708,0.0,0.0,0.0088626292466765,0.0,0.0,0.0033234859675036,0.0018463810930576,0.0,0.0,0.9848596750369276,0.0,0.0011078286558345,0.0,0.0,2016,0.0567031390964985,0.0365421299023435,0.207739391630989,0.169437639415264,0.186270349449995,0.182371988892555,3332,414463
5,20,JHARKHAND,5,KODARMA,19,KODARMA,5,KODARMA,2005,Pre delimitation,2.2734125395,0.10747282954,1206219304.0,2525,7391,1638,0,0,1695,82,0,122,199,684,0,2501,30,5,1,0,0.359061204109266,0.374659478664398,-0.0455956783537711,-0.0442395210266113,0.720493713466106,0.376225531101227,11554,0.6396918815994461,0.1417690842998095,5319,0.0,0.0,0.3186689227298364,0.0154164316600864,0.0,0.0229366422259823,0.0374130475653318,0.1285956006768189,0.0,0.4702011656326377,0.0056401579244218,0.0009400263207369,0.0001880052641473,0.0,2016,-0.0531173013150692,-0.0527152799046476,0.49378027390083,0.177430421113968,0.323017406808788,0.334319621324539,11552,1479773
1,20,JHARKHAND,10,PAKAUR,5,PAKAUR,1,RAJMAHAL (ST),2001,Pre delimitation,0.76282096779,0.02117791885,237489822.0,13155,18772,281,0,0,0,0,0,0,4,10,0,1016,16,1,0,3,0.283112062090394,0.260245770215988,-0.0313665276455527,0.0134161217138171,1.24591261673869,0.85026827454567,32208,0.5828365623447591,0.0087245404868355,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0038095238095238,0.0095238095238095,0.0,0.9676190476190476,0.0152380952380952,0.0009523809523809,0.0,0.0028571428571428,2016,-0.0137788290157914,-0.0480248530046474,1.00903558591829,0.596913695335388,0.17575588766195,0.161305323243141,340164,695963
