OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,20,JHARKHAND,9,SAHIBGANJ,1,RAJMAHAL,1,RAJMAHAL (ST),2001,Pre delimitation,1.73285758932,0.05054566535,564816172.0,142196,139466,57397,0,0,0,0,0,0,52,311,49,1698,15,8,63,305,0.8958796452761,0.644283652305603,0.267180027312683,0.276988714933395,-0.171361018898025,-0.136109203100204,339059,0.4113325409442014,0.1692832220940898,2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0207916833266693,0.1243502598960415,0.0195921631347461,0.6789284286285486,0.0059976009596161,0.0031987205117952,0.0251899240303878,0.1219512195121951,2018,-0.103440262377262,-0.123241332237061,0.783210222769777,0.558812975883484,0.205651367379551,0.218433201313019,338511,328238
1,20,JHARKHAND,9,SAHIBGANJ,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.42161690864,0.07693144649,859667305.0,1937,1480,19,0,0,677,0,0,2,1043,5,0,1723,11,347,0,2,0.653813275786294,0.372634828090668,0.306384625224504,0.306331872940063,-0.0803411218517602,-0.073785312473774,3436,0.4307334109429569,0.0055296856810244,3810,0.0,0.0,0.1776902887139107,0.0,0.0,0.000524934383202,0.273753280839895,0.0013123359580052,0.0,0.4522309711286089,0.0028871391076115,0.0910761154855643,0.0,0.000524934383202,2018,-0.0638623684644699,-0.0707755327683176,0.640347151260128,0.388528913259506,0.298859456501237,0.310129344463348,338511,328238
3,20,JHARKHAND,8,GODDA,18,MAHAGAMA,3,GODDA,2003,Pre delimitation,1.06937089008,0.03010190026,336339878.0,1633,1746,14,0,0,0,0,0,0,0,0,0,1477,4,0,0,0,1.24395963515725,1.04834806919098,0.298198008142261,0.289553433656693,-0.0793781505172044,-0.0664368271827698,3393,0.5145888594164456,0.0041261420571765,1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972991222147198,0.0027008777852802,0.0,0.0,0.0,2018,-0.0860671848058701,-0.0905205185623131,1.13200895491252,0.940532386302948,0.144237913139441,0.129578649997711,3363,3371
1,20,JHARKHAND,8,GODDA,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,0.89124620075,0.02808471409,313954507.0,2144,2670,1225,0,0,97,0,0,0,81,9,0,1163,19,26,0,0,1.35067019673283,0.790312528610229,0.281792294429024,0.282202571630478,-0.0447402378126565,-0.0373936332762241,6039,0.4421261798310978,0.2028481536678258,1395,0.0,0.0,0.0695340501792114,0.0,0.0,0.0,0.0580645161290322,0.0064516129032258,0.0,0.8336917562724014,0.0136200716845878,0.0186379928315412,0.0,0.0,2018,-0.0494107156991959,-0.0537997596966466,1.3208838482612,0.790616631507874,0.141088400645433,0.121829085052013,338511,328238
3,20,JHARKHAND,8,GODDA,17,GODDA,3,GODDA,2003,Pre delimitation,0.97404944719,0.04146187066,464070666.0,1412,1603,17,0,0,0,0,0,0,1,0,0,2026,27,0,0,0,1.24881966728681,0.863173484802246,0.267844037475581,0.256192982196808,0.0003640984921955,0.0214571077376604,3032,0.5286939313984169,0.0056068601583113,2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0004868549172346,0.0,0.0,0.9863680623174296,0.0131450827653359,0.0,0.0,0.0,2018,-0.0459259189665318,-0.051716192029629,1.01529068062645,0.809898465871811,0.195634524483827,0.146536186337471,3363,3371
1,20,JHARKHAND,9,SAHIBGANJ,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.31768064111,0.04764917844,533391642.0,1403,2148,4,0,0,21,0,0,0,279,0,0,1737,7,311,0,0,0.477906275878681,0.352365732192993,0.293640561096415,0.285949349403381,-0.0493936784624336,-0.0358213298022747,3555,0.6042194092827005,0.0011251758087201,2355,0.0,0.0,0.0089171974522292,0.0,0.0,0.0,0.1184713375796178,0.0,0.0,0.7375796178343949,0.0029723991507431,0.1320594479830148,0.0,0.0,2018,-0.035453949123621,-0.0470222797851518,0.480055883143108,0.371136993169785,0.313139258036963,0.305650234222412,338511,328238
1,20,JHARKHAND,8,GODDA,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.50182067174,0.04854142015,543779843.0,763,1377,164,0,0,307,28,0,45,681,53,0,1291,5,4,0,0,0.322330329703561,0.277925848960876,0.355940317466626,0.357530757784843,-0.0736368189934966,-0.0746180489659309,2304,0.59765625,0.0711805555555555,2414,0.0,0.0,0.1271748135874068,0.0115990057995029,0.0,0.0186412593206296,0.2821043910521955,0.0219552609776304,0.0,0.5347970173985087,0.0020712510356255,0.0016570008285004,0.0,0.0,2018,-0.0685404986143112,-0.0756999767112552,0.348291728174478,0.305241733789444,0.348224373315727,0.361682519316673,338511,328238
1,20,JHARKHAND,9,SAHIBGANJ,5,PAKAUR,1,RAJMAHAL (ST),2001,Pre delimitation,0.84409898718,0.01973070591,220947189.0,20981,8007,3387,0,0,0,0,0,0,1,7,6,946,2,0,0,13,0.900212433044408,0.804591774940491,0.295212439772197,0.273097455501556,-0.0935414262647414,-0.0511374473571777,32375,0.2473204633204633,0.1046177606177606,975,0.0,0.0,0.0,0.0,0.0,0.0,0.001025641025641,0.0071794871794871,0.0061538461538461,0.9702564102564104,0.002051282051282,0.0,0.0,0.0133333333333333,2018,-0.141628488898277,-0.150039221783197,0.828281139699716,0.745200634002686,0.325066812701913,0.322776943445206,338511,328238
1,20,JHARKHAND,10,PAKAUR,4,LITIPARA (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.58160064648,0.07403566559,830093913.0,746,1714,75,0,0,211,6,0,114,707,178,0,2392,0,62,0,0,0.406681521397858,0.321894511580467,0.313341464540057,0.304960161447525,-0.0433184163260137,-0.0301891379058361,2535,0.6761341222879684,0.029585798816568,3670,0.0,0.0,0.0574931880108991,0.0016348773841961,0.0,0.0310626702997275,0.1926430517711171,0.0485013623978201,0.0,0.6517711171662125,0.0,0.0168937329700272,0.0,0.0,2018,-0.0285262241959572,-0.0391113749119946,0.419830352982503,0.334429174661636,0.32385435591511,0.31498795747757,338511,328238
3,20,JHARKHAND,8,GODDA,16,POREYAHAT,3,GODDA,2003,Pre delimitation,1.1578784916,0.05451845554,611187999.0,396,875,40,0,0,17,0,0,6,6,3,0,2673,0,3,0,0,0.471129944140687,0.415387138724327,0.269555800482288,0.260951042175293,0.0440045398067079,0.0722140222787857,1311,0.6674294431731502,0.030511060259344,2708,0.0,0.0,0.0062776957163958,0.0,0.0,0.0022156573116691,0.0022156573116691,0.0011078286558345,0.0,0.9870753323485968,0.0,0.0011078286558345,0.0,0.0,2018,0.0493436455726624,0.0281437639176569,0.469416119898355,0.426113501191139,0.281366806132523,0.272859960794449,3363,3371
