OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Area_AC,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,20,JHARKHAND,9,SAHIBGANJ,1,RAJMAHAL,1,RAJMAHAL (ST),2001,Pre delimitation,1.73285758932,0.05054566535,564816172.0,48266,234845,53960,0,0,0,0,0,42,312,52,1702,15,12,49,317,1.08007867716059,0.784021615982056,-0.216882517360941,-0.197894021868706,0.309382456105007,0.334106206893921,337071,0.6967226489374642,0.1600849672620901,2501,0.0,0.0,0.0,0.0,0.0,0.0167932826869252,0.124750099960016,0.0207916833266693,0.6805277888844462,0.0059976009596161,0.0047980807676929,0.0195921631347461,0.126749300279888,2019,-0.136109203100204,-0.171361018898025,0.8958796452761,0.644283652305603,0.267180027312683,0.276988714933395,339059,338511
1,20,JHARKHAND,9,SAHIBGANJ,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.42161690864,0.07693144649,859667305.0,1527,1645,0,0,0,613,0,5,1150,6,0,1631,11,392,0,2,0.789965221841536,0.475949555635452,-0.11304022648767,-0.109369993209839,0.366599313705786,0.368994832038879,3172,0.5186002522068096,0.0,3810,0.0,0.0,0.1608923884514435,0.0,0.0013123359580052,0.3018372703412073,0.0015748031496062,0.0,0.4280839895013123,0.0028871391076115,0.1028871391076115,0.0,0.000524934383202,2019,-0.073785312473774,-0.0803411218517602,0.653813275786294,0.372634828090668,0.306384625224504,0.306331872940063,339059,338511
3,20,JHARKHAND,8,GODDA,18,MAHAGAMA,3,GODDA,2003,Pre delimitation,1.06937089008,0.03010190026,336339878.0,1753,1639,1,0,0,0,0,0,1,0,0,1476,4,0,0,0,1.48196660260293,1.27642464637756,-0.154096002370978,-0.13878570497036,0.386712942431906,0.378361165523529,3393,0.4830533451223106,0.0002947244326554,1481,0.0,0.0,0.0,0.0,0.0,0.00067521944632,0.0,0.0,0.9966239027683996,0.0027008777852802,0.0,0.0,0.0,2019,-0.0664368271827698,-0.0793781505172044,1.24395963515725,1.04834806919098,0.298198008142261,0.289553433656693,3393,3363
1,20,JHARKHAND,8,GODDA,2,BORIO (ST),1,RAJMAHAL (ST),2001,Pre delimitation,0.89124620075,0.02808471409,313954507.0,2169,3753,122,0,0,97,0,5,86,9,2,1145,20,31,0,0,1.58846641625321,0.94055712223053,-0.0954227673222434,-0.0982405990362167,0.343142898314754,0.350792795419693,6044,0.620946393117141,0.0201853077432164,1395,0.0,0.0,0.0695340501792114,0.0,0.003584229390681,0.0616487455197132,0.0064516129032258,0.0014336917562724,0.8207885304659498,0.014336917562724,0.0222222222222222,0.0,0.0,2019,-0.0373936332762241,-0.0447402378126565,1.35067019673283,0.790312528610229,0.281792294429024,0.282202571630478,339059,338511
3,20,JHARKHAND,8,GODDA,17,GODDA,3,GODDA,2003,Pre delimitation,0.97404944719,0.04146187066,464070666.0,1307,1865,0,0,0,0,0,0,3,0,0,2024,27,0,0,0,1.77915967425756,1.2175207734108,-0.0810935811921068,-0.064423143863678,0.371351788808572,0.362386435270309,3172,0.5879571248423707,0.0,2054,0.0,0.0,0.0,0.0,0.0,0.0014605647517039,0.0,0.0,0.98539435248296,0.0131450827653359,0.0,0.0,0.0,2019,0.0214571077376604,0.0003640984921955,1.24881966728681,0.863173484802246,0.267844037475581,0.256192982196808,3393,3363
1,20,JHARKHAND,9,SAHIBGANJ,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.31768064111,0.04764917844,533391642.0,1221,2409,4,0,0,21,0,0,294,0,0,1679,7,354,0,0,0.629427591775127,0.485519289970398,-0.0789417975742714,-0.0658156499266624,0.349104826445558,0.3446324467659,3634,0.662905888827738,0.0011007154650522,2355,0.0,0.0,0.0089171974522292,0.0,0.0,0.1248407643312101,0.0,0.0,0.7129511677282377,0.0029723991507431,0.1503184713375796,0.0,0.0,2019,-0.0358213298022747,-0.0493936784624336,0.477906275878681,0.352365732192993,0.293640561096415,0.285949349403381,339059,338511
1,20,JHARKHAND,8,GODDA,3,BARHAIT (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.50182067174,0.04854142015,543779843.0,550,1758,1,0,0,314,28,63,740,34,1,1217,5,12,0,0,0.460628185551397,0.402535021305084,-0.104668534021553,-0.104008104652166,0.396383605092459,0.398918032646179,2309,0.7613685578172369,0.0004330879168471,2414,0.0,0.0,0.1300745650372825,0.0115990057995029,0.0260977630488815,0.3065451532725766,0.0140845070422535,0.0004142502071251,0.504142502071251,0.0020712510356255,0.0049710024855012,0.0,0.0,2019,-0.0746180489659309,-0.0736368189934966,0.322330329703561,0.277925848960876,0.355940317466626,0.357530757784843,339059,338511
1,20,JHARKHAND,9,SAHIBGANJ,5,PAKAUR,1,RAJMAHAL (ST),2001,Pre delimitation,0.84409898718,0.01973070591,220947189.0,5671,24995,2462,0,0,0,0,0,0,6,6,947,2,0,0,14,1.08855856540622,0.974661380052567,-0.156969686447701,-0.137198612093925,0.366260673608016,0.362116396427155,33128,0.7544977058681478,0.0743177976334218,975,0.0,0.0,0.0,0.0,0.0,0.0,0.0061538461538461,0.0061538461538461,0.9712820512820513,0.002051282051282,0.0,0.0,0.0143589743589743,2019,-0.0511374473571777,-0.0935414262647414,0.900212433044408,0.804591774940491,0.295212439772197,0.273097455501556,339059,338511
1,20,JHARKHAND,10,PAKAUR,4,LITIPARA (ST),1,RAJMAHAL (ST),2001,Pre delimitation,1.58160064648,0.07403566559,830093913.0,782,1910,37,0,0,222,4,118,858,120,0,2260,0,88,0,0,0.532603011096168,0.430172324180603,-0.0672874527836199,-0.0558548457920551,0.358512111488419,0.351833373308182,2729,0.6998900696225724,0.0135580798827409,3670,0.0,0.0,0.0604904632152588,0.0010899182561307,0.0321525885558583,0.2337874659400545,0.0326975476839237,0.0,0.6158038147138964,0.0,0.0239782016348773,0.0,0.0,2019,-0.0301891379058361,-0.0433184163260137,0.406681521397858,0.321894511580467,0.313341464540057,0.304960161447525,339059,338511
3,20,JHARKHAND,8,GODDA,16,POREYAHAT,3,GODDA,2003,Pre delimitation,1.1578784916,0.05451845554,611187999.0,492,858,1,0,0,15,0,6,9,2,0,2667,0,9,0,0,0.658339087900363,0.585248917341232,0.0020523263034655,0.0228444021195173,0.336181378362148,0.331152141094208,1351,0.6350851221317543,0.000740192450037,2708,0.0,0.0,0.0055391432791728,0.0,0.0022156573116691,0.0033234859675036,0.000738552437223,0.0,0.9848596750369276,0.0,0.0033234859675036,0.0,0.0,2019,0.0722140222787857,0.0440045398067079,0.471129944140687,0.415387138724327,0.269555800482288,0.260951042175293,3393,3363
