OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
5,21,ORISSA,7,MAYURBHANJ,28,RAIRANGPUR (ST),5,MAYURBHANJ (ST),2105,,1.57370127979,0.08237598859,1120206,5821,7452,743,4132,9121,654,0,3,179,228,0,0,57,30,45,0,3533,2,5,0,0,0.562090542704081,0.469252705574036,0.283762060708404,0.266334742307663,0.0525567300603488,0.0862981677055359,13907,0.6558567627813331,0.0470266772129143,4082,0.0,0.0007349338559529,0.0438510534051935,0.0558549730524252,0.0,0.0,0.0139637432631063,0.0073493385595296,0.0110240078392944,0.0,0.8655071043606075,0.0004899559039686,0.0012248897599216,0.0,0.0,2016,0.0778203755617142,0.0491721424146944,0.5696130888713771,0.4806599318981169,0.265573733149008,0.254380613565445,13935,1134222
2,21,ORISSA,5,SUNDARGARH,8,TALSARA (ST),2,SUNDARGARH (ST),2102,,2.9003858872,0.15890645142,2167015,3143,15459,2386,2822,14845,2841,0,19,89,1043,0,0,207,359,170,0,5875,0,101,0,0,0.438803388103337,0.38294193148613,0.304421742694535,0.293116450309753,0.0162161619451693,0.0445820055902004,20508,0.7238638580066316,0.1385313048566413,7863,0.0,0.0024163805163423,0.0113188350502352,0.1326465725550044,0.0,0.0,0.0263258298359404,0.0456568739666793,0.0216202467251685,0.0,0.7471702912374412,0.0,0.0128449701131883,0.0,0.0,2016,0.0352192148566246,0.0074690273520309,0.4469005736198255,0.3803681433200835,0.291858707992975,0.280104458332062,20504,2188003
2,21,ORISSA,5,SUNDARGARH,10,BIRAMITRAPUR (ST),2,SUNDARGARH (ST),2102,,2.11010191711,0.10999923206,1453489,9364,37665,14075,8886,36853,14442,0,11,32,158,0,0,29,148,57,22,4897,20,40,10,20,0.64653559661466,0.450424492359161,0.260680711778006,0.254058569669724,0.0059927626075781,0.0364484675228596,60181,0.6123693524534322,0.2399760721822502,5444,0.0,0.0020205731080088,0.005878030859662,0.0290227773695811,0.0,0.0,0.0053269654665687,0.0271858927259368,0.0104702424687729,0.0040411462160176,0.8995224099926524,0.0036737692872887,0.0073475385745775,0.0018368846436443,0.0036737692872887,2016,0.0401313006877899,0.0147266985667608,0.652804594041303,0.4637667834758755,0.244825445469631,0.241051986813545,20504,2188003
5,21,ORISSA,7,MAYURBHANJ,27,SARASKANA (ST),5,MAYURBHANJ (ST),2105,,2.49636031594,0.09499891628,1284938,3226,10018,9860,3729,13489,5695,0,22,294,423,0,0,332,52,96,8,3436,0,40,2,1,0.550470378171909,0.485187888145447,0.312057061189262,0.293332010507584,0.0239821422182591,0.0574378501623869,22913,0.5887051019072143,0.2485488587264871,4706,0.0,0.0046748831279218,0.0624734381640459,0.0898852528686782,0.0,0.0,0.0705482362940926,0.011049723756906,0.0203994900127496,0.0016999575010624,0.7301317467063323,0.0,0.0084997875053123,0.0004249893752656,0.0002124946876328,2016,0.0423709955066442,0.0146083793747411,0.552398993758209,0.4906460493803025,0.304403967604432,0.295978128910065,13935,1134222
2,21,ORISSA,5,SUNDARGARH,13,RAJGANGPUR (ST),2,SUNDARGARH (ST),2102,,1.86465454107,0.11130511905,1486573,5340,28335,12315,5362,25761,11735,0,19,384,227,0,0,164,56,766,19,3749,120,2,2,10,0.819253744779501,0.439019560813904,0.244462332169025,0.24091163277626,-0.0121419544971,0.0071701472625136,42858,0.6010779784404312,0.2738111904428578,5518,0.0,0.0034432765494744,0.069590431315694,0.041138093512142,0.0,0.0,0.029720913374411,0.010148604566872,0.1388184124682856,0.0034432765494744,0.6794128307357739,0.0217470097861544,0.0003624501631025,0.0003624501631025,0.0018122508155128,2016,0.0087880846112966,-0.0160810900556967,0.855446141731633,0.4459301903843879,0.255500991089275,0.245601281523705,20504,2188003
2,21,ORISSA,5,SUNDARGARH,12,ROURKELA,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,69928,53,2476,439,127,2512,265,0,0,0,0,0,0,0,6,5,0,84,172,0,0,0,9.64676764941123,9.76855182647705,0.238309643084936,0.236614361405373,-0.0209971458386106,-0.0193380145356059,2904,0.8650137741046832,0.0912534435261708,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224719101123595,0.0187265917602996,0.0,0.3146067415730337,0.6441947565543071,0.0,0.0,0.0,2016,-0.048694770783186,-0.0490023829471806,9.766133170330384,10.106570243835424,0.234332030141673,0.234214887022972,20504,2188003
5,21,ORISSA,7,MAYURBHANJ,29,BANGRIPOSI (ST),5,MAYURBHANJ (ST),2105,,4.04802885141,0.19169015672,2626224,2961,9523,706,2842,8214,869,0,2951,347,1890,0,0,841,24,66,0,3202,11,170,0,9,0.43186772656781,0.315250471234322,0.410086450092995,0.42189359664917,-0.0955797927877824,-0.117122184485197,11925,0.6888050314465409,0.0728721174004192,9511,0.0,0.3102723162653769,0.0364840710755966,0.1987172747345179,0.0,0.0,0.0884239301861003,0.0025233939648827,0.0069393334034276,0.0,0.3366628114814425,0.0011565555672379,0.0178740405845862,0.0,0.000946272736831,2016,-0.144412882626057,-0.116194194523833,0.422384875365683,0.304225824773312,0.419803149408036,0.428248196840286,13935,1134222
2,21,ORISSA,5,SUNDARGARH,11,RAGHUNATHPALI (SC),2,SUNDARGARH (ST),2102,,0.81992426604,0.01803655969,242768,715,3789,1073,770,3050,948,0,28,27,60,0,0,44,123,30,0,430,148,0,0,0,4.30719894150893,0.892020225524902,0.27088750007391,0.252011060714722,-0.0564367094472549,-0.0395194441080093,4768,0.6396812080536913,0.1988255033557047,890,0.0,0.0314606741573033,0.0303370786516853,0.0674157303370786,0.0,0.0,0.049438202247191,0.1382022471910112,0.0337078651685393,0.0,0.4831460674157303,0.1662921348314607,0.0,0.0,0.0,2016,-0.0329279713332653,-0.0429574320343247,4.510579385774005,0.8644280582666395,0.239435268007037,0.247875154018402,20504,2188003
5,21,ORISSA,7,MAYURBHANJ,26,JASHIPUR (ST),5,MAYURBHANJ (ST),2105,,3.42231329053,0.13163002864,1801015,4068,6369,924,2647,7348,1187,0,750,34,1112,0,0,515,14,149,0,3895,0,40,0,0,0.442825178403392,0.390788376331329,0.359778100909655,0.325549528002739,-0.0177478752320915,0.0326323769986629,11182,0.6571275263816848,0.1061527454838132,6509,0.0,0.1152250729758795,0.0052235366415732,0.1708403748655707,0.0,0.0,0.0791212167767706,0.002150868028883,0.0228913811645414,0.0,0.5984022123214011,0.0,0.0061453372253802,0.0,0.0,2016,0.014517383184284,-0.0266613514436393,0.4385355057994254,0.3911245465278625,0.337351429006161,0.317051649093628,13935,1134222
2,21,ORISSA,5,SUNDARGARH,9,SUNDARGARH (ST),2,SUNDARGARH (ST),2102,,2.86661590385,0.15852373909,2154364,5957,21552,910,5051,19805,698,0,20,361,874,0,0,361,164,1127,0,4892,14,46,0,0,0.891272267579729,0.512957274913788,0.280579439474034,0.277520090341568,0.0241773658302497,0.0404384806752205,25554,0.7750254363309071,0.0273147061125459,7859,0.0,0.0025448530347372,0.0459345972770072,0.1112100776180175,0.0,0.0,0.0459345972770072,0.0208677948848454,0.1434024685074437,0.0,0.6224710522967298,0.001781397124316,0.0058531619798956,0.0,0.0,2016,0.0165505483746529,-0.0017177271870301,0.9192182949968846,0.523511439561844,0.278963392436544,0.274970978498459,20504,2188003
