OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NL_mean,NL_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_3_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
5,21,ORISSA,7,MAYURBHANJ,28,RAIRANGPUR (ST),5,MAYURBHANJ (ST),2105,,1.57370127979,0.08237598859,1120206,5821,7452,743,4719,8451,726,0,23,0,95,264,0,0,58,92,49,0,3479,2,20,0,0,-0.030138267543605,-0.0050709638744592,0.499997916772008,0.41424947977066,0.332509410427713,0.319639578461647,13896,0.6081606217616581,0.0522452504317789,4082,0.0,0.0056344928956393,0.0,0.0232729054385105,0.0646741793238608,0.0,0.0,0.0142087212150906,0.0225379715825575,0.0120039196472317,0.0,0.8522782949534542,0.0004899559039686,0.0048995590396864,0.0,0.0,2018,0.0723386742174625,0.0422556934633771,0.577135635038673,0.492067158222198,0.293947782798007,0.279631942510605,13822,13907
2,21,ORISSA,5,SUNDARGARH,8,TALSARA (ST),2,SUNDARGARH (ST),2102,,2.9003858872,0.15890645142,2167015,3143,15459,2386,7493,10467,2542,0,23,0,95,1118,0,0,236,241,201,0,5890,0,59,0,0,0.0038973163577776,0.0320872440934181,0.369537374788001,0.294146180152893,0.358342230060016,0.34591418504715,20502,0.5105355575065847,0.1239879036191591,7863,0.0,0.0029250922039933,0.0,0.0120819025817118,0.1421849166984611,0.0,0.0,0.0300139895714104,0.0306498791809741,0.0255627623044639,0.0,0.7490779600661325,0.0,0.0075034973928526,0.0,0.0,2018,0.0186458509415388,-0.0184187989379448,0.454997759136314,0.377794355154037,0.347399004418218,0.321943312883377,20502,20508
2,21,ORISSA,5,SUNDARGARH,10,BIRAMITRAPUR (ST),2,SUNDARGARH (ST),2102,,2.11010191711,0.10999923206,1453489,9364,37665,14075,12061,32269,15839,0,27,0,22,163,0,0,10,203,67,29,4806,20,73,6,18,-0.0347136997583421,-0.0067290454171598,0.53584505549697,0.364436715841293,0.326827009352284,0.321382641792297,60169,0.5363060712326946,0.2632418687363925,5444,0.0,0.0049595885378398,0.0,0.0040411462160176,0.0299412196914033,0.0,0.0,0.0018368846436443,0.0372887582659808,0.0123071271124173,0.0053269654665687,0.8828067597354886,0.0036737692872887,0.0134092578986039,0.0011021307861866,0.0033063923585598,2018,0.0231630615890026,-0.0024609469328355,0.659073591467946,0.47710907459259,0.259782261275086,0.257481336593628,20502,20508
5,21,ORISSA,7,MAYURBHANJ,27,SARASKANA (ST),5,MAYURBHANJ (ST),2105,,2.49636031594,0.09499891628,1284938,3226,10018,9860,2369,12556,7985,0,70,0,207,405,0,0,358,155,87,25,3331,0,67,0,1,-0.0207876868197559,0.0101904701441526,0.474593818385038,0.419022232294083,0.344578388213857,0.332163006067276,22910,0.5480576167612397,0.3485377564382366,4706,0.0,0.0148746281342966,0.0,0.0439864003399915,0.0860603484912877,0.0,0.0,0.0760730981725456,0.0329366765830854,0.0184870378240544,0.0053123671908202,0.7078198045048874,0.0,0.0142371440713982,0.0,0.0002124946876328,2018,0.0535101741552353,0.0171277616432832,0.554327609344509,0.496104210615158,0.307212881856932,0.292589917778969,13822,13907
2,21,ORISSA,5,SUNDARGARH,13,RAJGANGPUR (ST),2,SUNDARGARH (ST),2102,,1.86465454107,0.11130511905,1486573,5340,28335,12315,5900,25241,11726,0,23,0,417,253,0,0,184,80,716,23,3689,120,3,1,9,-0.0536367978134736,-0.0351607576012611,0.890605678557158,0.378974333405495,0.343953457673821,0.338895976543427,42867,0.5888212377819768,0.2735437516037978,5518,0.0,0.0041681768756795,0.0,0.0755708590068865,0.0458499456324755,0.0,0.0,0.0333454150054367,0.0144980065241029,0.1297571583907212,0.0041681768756795,0.6685393258426966,0.0217470097861544,0.0005436752446538,0.0001812250815512,0.0016310257339615,2018,-0.0160029791295528,-0.0409207491829357,0.891638538683765,0.452840819954872,0.27244092591078,0.261582255363464,20502,20508
2,21,ORISSA,5,SUNDARGARH,12,ROURKELA,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,69928,53,2476,439,660,1968,276,0,0,0,0,0,0,0,0,12,3,0,80,172,0,0,0,-0.0793898348136578,-0.0759693160653114,9.77046954263591,9.89236545562744,0.341325392698559,0.352364242076874,2904,0.6776859504132231,0.0950413223140495,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.0112359550561797,0.0,0.299625468164794,0.6441947565543071,0.0,0.0,0.0,2018,-0.0224462673068047,-0.0230480843460879,9.88549869124954,10.4445886611938,0.220295502153669,0.221829824149609,20502,20508
5,21,ORISSA,7,MAYURBHANJ,29,BANGRIPOSI (ST),5,MAYURBHANJ (ST),2105,,4.04802885141,0.19169015672,2626224,2961,9523,706,1695,9577,657,0,3285,0,294,1561,0,0,936,53,64,2,3055,11,241,0,9,-0.141499212960262,-0.186711899936199,0.331350598013417,0.218665353953838,0.448331410627463,0.475423574447632,11929,0.8028334311342108,0.0550758655377651,9511,0.0,0.3453895489433288,0.0,0.0309115760698139,0.1641257491325833,0.0,0.0,0.0984123646304279,0.0055724950057827,0.0067290505730207,0.0002102828304068,0.3212070234465355,0.0011565555672379,0.0253390810640311,0.0,0.000946272736831,2018,-0.12638983130455,-0.103533449821329,0.412902024163556,0.293201178312302,0.420100512636535,0.43060165643692,13822,13907
2,21,ORISSA,5,SUNDARGARH,11,RAGHUNATHPALI (SC),2,SUNDARGARH (ST),2102,,0.81992426604,0.01803655969,242768,715,3789,1073,818,3153,797,1,48,0,10,62,0,0,28,173,16,0,404,148,0,0,0,-0.0961233325407935,-0.0773443207144737,4.46951670649979,0.76031219959259,0.369622120672322,0.373893529176712,4768,0.6612835570469798,0.1671560402684563,890,0.0011235955056179,0.0539325842696629,0.0,0.0112359550561797,0.0696629213483146,0.0,0.0,0.0314606741573033,0.1943820224719101,0.0179775280898876,0.0,0.4539325842696629,0.1662921348314607,0.0,0.0,0.0,2018,-0.0329656526446342,-0.0467454430562688,4.71395983003908,0.836835891008377,0.251194610462677,0.244732961058617,20502,20508
5,21,ORISSA,7,MAYURBHANJ,26,JASHIPUR (ST),5,MAYURBHANJ (ST),2105,,3.42231329053,0.13163002864,1801015,4068,6369,924,2587,7276,1328,0,931,0,19,919,0,0,566,22,132,0,3858,0,62,0,0,-0.0728868519220889,-0.0419697016477585,0.375889936936183,0.334035515785217,0.385383218747179,0.36076931655407,11191,0.6501653114109552,0.1186667858100259,6509,0.0,0.1430327239207251,0.0,0.0029190351820556,0.141189122753111,0.0,0.0,0.0869565217391304,0.0033799354739591,0.0202796128437548,0.0,0.5927177753879244,0.0,0.0095252726993393,0.0,0.0,2018,0.0318060945719481,-0.0191904538952873,0.434245833195459,0.391460716724396,0.346095591987744,0.315039440989494,13822,13907
2,21,ORISSA,5,SUNDARGARH,9,SUNDARGARH (ST),2,SUNDARGARH (ST),2102,,2.86661590385,0.15852373909,2154364,5957,21552,910,11178,13748,642,0,22,0,386,940,0,0,425,171,1120,0,4750,14,31,0,0,-0.000517188499606,0.0162584837526083,0.934042516181911,0.456723749637604,0.352978612106279,0.352167159318924,25568,0.53770337922403,0.0251095118898623,7859,0.0,0.0027993383382109,0.0,0.0491156635704288,0.1196080926326504,0.0,0.0,0.0540781269881664,0.0217584934470034,0.1425117699452856,0.0,0.6044025957500955,0.001781397124316,0.0039445222038427,0.0,0.0,2018,0.0117667661979795,-0.0104979791020974,0.94716432241404,0.5340656042099,0.334028995297006,0.322598457336426,20502,20508
