OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_6,LC_7,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDBI_mean,NDBI_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_6_ratio,LC_7_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
5,21,ORISSA,7,MAYURBHANJ,28,RAIRANGPUR (ST),5,MAYURBHANJ (ST),2105,,1.57370127979,0.08237598859,1120206,5821,7452,743,3328,9644,1003,0,31,97,246,0,0,75,139,46,2,3408,2,36,0,0,0.602515769565963,0.510510265827179,-0.0253862614560963,0.0237208623439074,0.359361999504444,0.338220089673996,13975,0.6900894454382827,0.0717710196779964,4082,0.0,0.0075943165115139,0.0237628613424791,0.060264576188143,0.0,0.0,0.0183733463988241,0.0340519353258206,0.0112689857912787,0.0004899559039686,0.8348848603625674,0.0004899559039686,0.0088192062714355,0.0,0.0,2019,-0.0050709638744592,-0.030138267543605,0.499997916772008,0.41424947977066,0.332509410427713,0.319639578461647,13896,13822
2,21,ORISSA,5,SUNDARGARH,8,TALSARA (ST),2,SUNDARGARH (ST),2102,,2.9003858872,0.15890645142,2167015,3143,15459,2386,2592,15554,2423,0,26,66,1010,0,0,355,321,177,0,5804,0,104,0,0,0.471323772785803,0.397221386432648,-0.0528112352038839,-0.0226514507085085,0.344297272104971,0.334694683551788,20569,0.7561864942389032,0.117798629004813,7863,0.0,0.0033066259697316,0.0083937428462418,0.1284497011318835,0.0,0.0,0.0451481622790283,0.0408241129339946,0.0225104921785578,0.0,0.7381406587816355,0.0,0.0132265038789266,0.0,0.0,2019,0.0320872440934181,0.0038973163577776,0.369537374788001,0.294146180152893,0.358342230060016,0.34591418504715,20502,20502
2,21,ORISSA,5,SUNDARGARH,10,BIRAMITRAPUR (ST),2,SUNDARGARH (ST),2102,,2.11010191711,0.10999923206,1453489,9364,37665,14075,6155,41604,12602,0,43,20,137,0,0,14,252,79,37,4700,20,121,2,19,0.653122116937194,0.47569751739502,-0.0681485475964144,-0.0337768271565437,0.332686299236493,0.325508117675781,60361,0.6892529944831928,0.20877719057007,5444,0.0,0.0078986039676708,0.0036737692872887,0.0251653196179279,0.0,0.0,0.0025716385011021,0.0462894930198383,0.0145113886847905,0.0067964731814842,0.8633357825128581,0.0036737692872887,0.0222263041880969,0.0003673769287288,0.0034900808229243,2019,-0.0067290454171598,-0.0347136997583421,0.53584505549697,0.364436715841293,0.326827009352284,0.321382641792297,20502,20502
5,21,ORISSA,7,MAYURBHANJ,27,SARASKANA (ST),5,MAYURBHANJ (ST),2105,,2.49636031594,0.09499891628,1284938,3226,10018,9860,2856,11108,9038,0,86,260,345,0,0,417,184,87,34,3221,0,70,0,2,0.541871351813313,0.4957065731287,-0.0531904531002893,-0.004090100293979,0.358115435481923,0.344589054584503,23002,0.4829145291713764,0.3929223545778628,4706,0.0,0.0182745431364215,0.0552486187845303,0.0733106672333191,0.0,0.0,0.0886102847428814,0.0390990225244368,0.0184870378240544,0.0072248193795155,0.6844453888652784,0.0,0.0148746281342966,0.0,0.0004249893752656,2019,0.0101904701441526,-0.0207876868197559,0.474593818385038,0.419022232294083,0.344578388213857,0.332163006067276,13896,13822
2,21,ORISSA,5,SUNDARGARH,13,RAJGANGPUR (ST),2,SUNDARGARH (ST),2102,,1.86465454107,0.11130511905,1486573,5340,28335,12315,4161,28787,10076,0,47,397,258,0,0,198,195,665,30,3585,120,13,0,10,0.974428419692464,0.451384916901588,-0.10629513770138,-0.0867375880479813,0.323527698395123,0.317388892173767,43024,0.6690916697657122,0.2341948679806619,5518,0.0,0.0085175788329104,0.0719463573758608,0.0467560710402319,0.0,0.0,0.0358825661471547,0.0353388909025009,0.1205146792316056,0.0054367524465386,0.6496919173613628,0.0217470097861544,0.0023559260601667,0.0,0.0018122508155128,2019,-0.0351607576012611,-0.0536367978134736,0.890605678557158,0.378974333405495,0.343953457673821,0.338895976543427,20502,20502
2,21,ORISSA,5,SUNDARGARH,12,ROURKELA,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,69928,53,2476,439,62,2589,262,0,0,0,0,0,0,0,14,3,0,72,172,6,0,0,9.5230354162717,9.75371742248535,-0.0964051602294408,-0.0946768149733543,0.297220971164486,0.311091184616089,2913,0.8887744593202883,0.0899416409200137,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0524344569288389,0.0112359550561797,0.0,0.2696629213483146,0.6441947565543071,0.0224719101123595,0.0,0.0,2019,-0.0759693160653114,-0.0793898348136578,9.77046954263591,9.89236545562744,0.341325392698559,0.352364242076874,20502,20502
5,21,ORISSA,7,MAYURBHANJ,29,BANGRIPOSI (ST),5,MAYURBHANJ (ST),2105,,4.04802885141,0.19169015672,2626224,2961,9523,706,2445,9030,544,0,3418,335,1466,0,0,957,51,46,1,2887,11,330,0,9,0.414105158334522,0.325105905532837,-0.163916229856905,-0.205140009522438,0.455036206542557,0.466030150651932,12019,0.7513104251601631,0.0452616690240452,9511,0.0,0.3593733571653874,0.0352223740931553,0.1541373146882557,0.0,0.0,0.1006203343497003,0.0053622121753758,0.0048365050993586,0.0001051414152034,0.3035432656923562,0.0011565555672379,0.034696667017138,0.0,0.000946272736831,2019,-0.186711899936199,-0.141499212960262,0.331350598013417,0.218665353953838,0.448331410627463,0.475423574447632,13896,13822
2,21,ORISSA,5,SUNDARGARH,11,RAGHUNATHPALI (SC),2,SUNDARGARH (ST),2102,,0.81992426604,0.01803655969,242768,715,3789,1073,683,3663,508,1,60,10,52,0,0,24,213,12,0,368,148,2,0,0,4.50231780409813,0.893950521945953,-0.139839533730939,-0.119813233613968,0.354726271915765,0.333134561777115,4854,0.7546353522867738,0.1046559538524928,890,0.0011235955056179,0.0674157303370786,0.0112359550561797,0.0584269662921348,0.0,0.0,0.0269662921348314,0.2393258426966292,0.0134831460674157,0.0,0.4134831460674157,0.1662921348314607,0.0022471910112359,0.0,0.0,2019,-0.0773443207144737,-0.0961233325407935,4.46951670649979,0.76031219959259,0.369622120672322,0.373893529176712,20502,20502
5,21,ORISSA,7,MAYURBHANJ,26,JASHIPUR (ST),5,MAYURBHANJ (ST),2105,,3.42231329053,0.13163002864,1801015,4068,6369,924,2595,7336,1355,0,978,19,842,0,0,582,37,142,0,3826,0,83,0,0,0.499341152601498,0.447477459907532,-0.078459936440699,-0.0327505879104137,0.384549431067692,0.356274172663689,11286,0.6500088605351764,0.120060251639199,6509,0.0,0.1502534951605469,0.0029190351820556,0.1293593485942541,0.0,0.0,0.0894146566292825,0.0056844369334767,0.0218159471500998,0.0,0.5878015056076202,0.0,0.012751574742664,0.0,0.0,2019,-0.0419697016477585,-0.0728868519220889,0.375889936936183,0.334035515785217,0.385383218747179,0.36076931655407,13896,13822
2,21,ORISSA,5,SUNDARGARH,9,SUNDARGARH (ST),2,SUNDARGARH (ST),2102,,2.86661590385,0.15852373909,2154364,5957,21552,910,7201,18180,729,0,23,277,934,0,0,674,260,1003,0,4628,14,46,0,0,1.06003691496779,0.565425336360931,-0.0553038311041417,-0.0396034307777882,0.329698736338369,0.32592698931694,26110,0.6962849482956721,0.0279203370356185,7859,0.0,0.0029265809899478,0.0352462145311108,0.1188446367222293,0.0,0.0,0.0857615472706451,0.0330830894515841,0.1276243796920727,0.0,0.5888789922381983,0.001781397124316,0.0058531619798956,0.0,0.0,2019,0.0162584837526083,-0.000517188499606,0.934042516181911,0.456723749637604,0.352978612106279,0.352167159318924,20502,20502
