OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,Water_1,Water_2,Water_3,LC_1,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NL_mean,NL_median,NDVI_mean,NDVI_median,NDBI_mean,NDBI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_1_ratio,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
3,19,WEST BENGAL,3,KOCH BIHAR,1,MEKLIGANJ (SC),3,JALPAIGURI (SC),1903,,3.64651622582,0.04691936236,49397,51362,1357,0,0,0,0,0,227,31,0,894,0,1125,44,4,0.976918378207708,0.655423521995544,0.290171930778569,0.30104649066925,-0.0761720298255511,-0.0742398276925087,102116,0.5029770065415802,0.0132888088056719,2325,0.0,0.0,0.0,0.0,0.0,0.0976344086021505,0.0133333333333333,0.0,0.384516129032258,0.0,0.4838709677419355,0.0189247311827957,0.0017204301075268,2016,-0.0799799412488937,-0.0773035707472211,0.700859174884274,0.404059648513794,0.303627063954319,0.3154436647892,102156,646036
1,19,WEST BENGAL,3,KOCH BIHAR,2,MATHABHANGA (SC),1,COOCHBEHAR (SC),1901,,1.32905669747,0.03310685903,31779,36089,3895,0,0,0,0,0,229,13,0,445,27,919,8,5,0.645440041382477,0.561675071716309,0.276354967237018,0.288827836513519,-0.113292939035829,-0.117366805672646,71763,0.5028914621741009,0.0542758803283028,1646,0.0,0.0,0.0,0.0,0.0,0.1391251518833536,0.0078979343863912,0.0,0.2703523693803159,0.0164034021871202,0.5583232077764277,0.0048602673147023,0.0030376670716889,2016,-0.130434781312943,-0.125964423599868,0.486309527187103,0.418171048164368,0.307434977069883,0.32646569609642,71641,455835
1,19,WEST BENGAL,3,KOCH BIHAR,3,COOCHBEHAR UTTAR (SC),1,COOCHBEHAR (SC),1901,,1.12302849062,0.03483544778,27994,16010,1357,0,3,3,0,0,137,0,0,433,19,1121,0,4,0.885844963102567,0.57657253742218,0.316187062473226,0.326331555843353,-0.113236264250368,-0.117438711225986,45361,0.3529463636163223,0.0299155662353122,1720,0.0,0.0017441860465116,0.0017441860465116,0.0,0.0,0.0796511627906976,0.0,0.0,0.2517441860465116,0.0110465116279069,0.6517441860465116,0.0,0.0023255813953488,2016,-0.130434781312943,-0.125964423599868,0.486309527187103,0.418171048164368,0.307434977069883,0.32646569609642,71641,455835
1,19,WEST BENGAL,3,KOCH BIHAR,4,COOCHBEHAR DAKSHIN,1,COOCHBEHAR (SC),1901,,0.86103586852,0.02355507449,9417,10292,1309,0,0,0,0,0,84,0,0,230,32,814,0,3,0.939389794887229,0.507560759782791,0.273149593807654,0.279571771621704,-0.133577419604329,-0.12808883190155,21018,0.4896755162241888,0.0622799505186031,1163,0.0,0.0,0.0,0.0,0.0,0.0722269991401547,0.0,0.0,0.1977644024075666,0.0275150472914875,0.6999140154772141,0.0,0.0025795356835769,2016,-0.130434781312943,-0.125964423599868,0.486309527187103,0.418171048164368,0.307434977069883,0.32646569609642,71641,455835
1,19,WEST BENGAL,3,KOCH BIHAR,5,SITALKUCHI (SC),1,COOCHBEHAR (SC),1901,,1.85827798495,0.04601088174,8141,11731,397,0,0,0,0,0,34,4,0,566,0,1676,3,0,0.833914523403062,0.684173911809921,0.346167245316123,0.352190941572189,-0.170813623056984,-0.172427922487259,20269,0.5787656026444323,0.0195865607578074,2283,0.0,0.0,0.0,0.0,0.0,0.0148926850635129,0.0017520805957074,0.0,0.2479194042925974,0.0,0.7341217696014016,0.0013140604467805,0.0,2016,-0.130434781312943,-0.125964423599868,0.486309527187103,0.418171048164368,0.307434977069883,0.32646569609642,71641,455835
1,19,WEST BENGAL,3,KOCH BIHAR,6,SITAI (SC),1,COOCHBEHAR (SC),1901,,1.3080772431,0.03807337344,29390,30918,2066,0,0,0,0,0,171,0,0,596,18,1103,3,2,0.753700204265617,0.592234402894974,0.299353548687562,0.309260860085487,-0.156410489364877,-0.15196530520916,62374,0.4956873056081059,0.0331227755154391,1893,0.0,0.0,0.0,0.0,0.0,0.0903328050713153,0.0,0.0,0.3148441627047015,0.0095087163232963,0.5826730058108822,0.0015847860538827,0.0010565240359218,2016,-0.130434781312943,-0.125964423599868,0.486309527187103,0.418171048164368,0.307434977069883,0.32646569609642,71641,455835
1,19,WEST BENGAL,3,KOCH BIHAR,7,DINHATA,1,COOCHBEHAR (SC),1901,,1.65021744915,0.02631610303,3559,5464,1,0,0,0,0,0,28,0,0,455,0,819,0,0,0.840616203205243,0.64738667011261,0.282168959455164,0.286902904510498,-0.166950188945875,-0.15600597858429,9024,0.6054964539007093,0.0001108156028368,1302,0.0,0.0,0.0,0.0,0.0,0.021505376344086,0.0,0.0,0.3494623655913978,0.0,0.6290322580645161,0.0,0.0,2016,-0.130434781312943,-0.125964423599868,0.486309527187103,0.418171048164368,0.307434977069883,0.32646569609642,71641,455835
1,19,WEST BENGAL,3,KOCH BIHAR,8,NATABARI,1,COOCHBEHAR (SC),1901,,1.16263255151,0.02797972586,25434,22954,945,0,0,0,0,0,188,0,0,226,1,964,0,9,0.642829184931827,0.517298579216003,0.279239328118043,0.289781451225281,-0.143262870277427,-0.138299390673637,49333,0.4652869276143758,0.0191555348346948,1388,0.0,0.0,0.0,0.0,0.0,0.1354466858789625,0.0,0.0,0.1628242074927954,0.0007204610951008,0.6945244956772334,0.0,0.0064841498559077,2016,-0.130434781312943,-0.125964423599868,0.486309527187103,0.418171048164368,0.307434977069883,0.32646569609642,71641,455835
2,19,WEST BENGAL,3,KOCH BIHAR,9,TUFANGANJ,2,ALIPURDUARS (ST),1902,,1.90810309197,0.0331308333,26546,23195,2202,0,0,16,5,0,119,0,0,111,6,1378,1,4,0.53512329367591,0.427106693387032,0.281682340335027,0.293769836425781,-0.0881317803293712,-0.0812324732542038,51943,0.4465471767129353,0.0423926226825558,1640,0.0,0.0,0.0097560975609756,0.0030487804878048,0.0,0.072560975609756,0.0,0.0,0.0676829268292683,0.0036585365853658,0.8402439024390244,0.0006097560975609,0.0024390243902439,2016,-0.0769050344824791,-0.0835181576997431,0.344178888605364,0.248700939118862,0.330933008984387,0.349089458584785,51798,456132
2,19,WEST BENGAL,2,JALPAIGURI,10,KUMARGRAM (ST),2,ALIPURDUARS (ST),1902,,1.65815350938,0.06226488697,19399,22761,382,0,254,102,185,16,848,57,0,403,11,1209,0,0,0.39447691030304,0.35468253493309,0.31639104622079,0.318775475025177,-0.0588538222980452,-0.0505224913358688,42542,0.5350242113675897,0.0089793615720934,3085,0.0,0.0823338735818476,0.033063209076175,0.059967585089141,0.0051863857374392,0.2748784440842787,0.0184764991896272,0.0,0.1306320907617504,0.0035656401944894,0.3918962722852512,0.0,0.0,2016,-0.0769050344824791,-0.0835181576997431,0.344178888605364,0.248700939118862,0.330933008984387,0.349089458584785,51798,456132
